sku,name,brand,category,packingUnit,company,unit,costPrice,minSellingPrice,minStock,maxStock,reorderLevel
double-cream-biscuits-strawberry-vanilla,Double Cream Biscuits (Strawberry & Vanilla) Rs.50,,Roll Pack,1 X 48,Kims,CTN,1834,1834,0,,0
choco-dip-cookies-rs-50,Choco Dip Cookies Rs.50,,Roll Pack,1 X 48,Kims,CTN,1834,1834,0,,0
peanut-biscuit-rs-50,Peanut Biscuit Rs.50,,Roll Pack,1 X 48,Kims,CTN,1834,1834,0,,0
tea-time-cookies-rs-40,Tea Time Cookies Rs.40,,Midi Pack,12 X 8,Kims,CTN,3120,3120,0,,0
moong-phali-mp-rs-40,Moong Phali MP Rs.40,,Midi Pack,12 X 8,Kims,CTN,3120,3120,0,,0
superb-milk-chocolate-rs-40,Superb (Milk & Chocolate) Rs.40,,Midi Pack,12 X 8,Kims,CTN,3120,3120,0,,0
banana-crunch-m-p-rs-30,Banana Crunch M/P Rs.30,,Midi Pack,1 X 18 X 6,Kims,CTN,2602,2602,0,,0
sopreme-egg-milk-cookies-rs-20,Sopreme Egg & Milk Cookies Rs.20,,Midi Pack,1 X 18 X 8,Kims,CTN,2296,2296,0,,0
right-m-p-rs-20,Right M/P Rs.20,,Midi Pack,1 X 18 X 6,Kims,CTN,1666,1666,0,,0
cookies-love-mp-rs-20,Cookies Love MP Rs.20,,Midi Pack,1 X 18 X 6,Kims,CTN,1666,1666,0,,0
superb-mp-rs-10,Superb MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
cheff-biscuits-rs-10-16-pieces,Cheff Biscuits Rs.10 (16 pieces),,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
choco-twist-chocolate-filled-cookies-m-p,Choco Twist (Chocolate Filled Cookies) M/P Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
glucose-magic-mp-rs-10,Glucose Magic MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
choco-dip-cookies-mp-rs-10,Choco Dip Cookies MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
narial-cookies-mp-rs-10,Narial Cookies MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
superb-milk-chocolate-rs-10-16-pieces,Superb (Milk & Chocolate) Rs.10 (16 pieces),,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
milky-way-mp-rs-10,Milky Way MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
moong-phali-mp-rs-10,Moong Phali MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
peanut-pista-mp-rs-10,Peanut Pista MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
sweet-cookies-egg-milk-rs-10,Sweet Cookies (Egg & Milk) Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
custard-cream-snack-pack-rs-5,Custard Cream Snack Pack Rs.5,,Snack Pack,1 X 18 X 30,Kims,CTN,2260,2260,0,,0
milky-way-snack-pack-rs-5,Milky Way Snack Pack Rs.5,,Snack Pack,1 X 18 X 24,Kims,CTN,1738,1738,0,,0
right-t-p-rs-5,Right T/P Rs.5,,Snack Pack,1 X 18 X 30,Kims,CTN,2260,2260,0,,0
tea-time-t-p-rs-5,Tea Time T/P Rs.5,,Snack Pack,1 X 18 X 24,Kims,CTN,1792,1792,0,,0
danish-butter-cookies-snack-pack-rs-5,Danish Butter Cookies Snack Pack Rs.5,,Snack Pack,1 X 18 X 24,Kims,CTN,1792,1792,0,,0
badami-meva-candy-rs-5-30-pieces,Badami Meva Candy Rs.5 (30 pieces),,Candy Box,1 X 24 X 30,Kims,CTN,2890,2890,0,,0
joy-lip-candy-chocolate-vanilla-rs-5,Joy Lip Candy (Chocolate & Vanilla) Rs.5,,Candy Box,1 X 18 X 30,Kims,CTN,1900,1900,0,,0
butter-scotch-candy-rs-5-30-pieces,Butter Scotch Candy Rs.5 (30 pieces),,Candy Box,1 X 18 X 30,Kims,CTN,1900,1900,0,,0
joy-lip-candy-chocolate-vanilla-jar-rs-5,Joy Lip Candy (Chocolate & Vanilla) Jar Rs.5,,Candy Box,1 X 12 X 50,Kims,CTN,2110,2110,0,,0
kulfa-candy-rs-5-jar-50-pieces,Kulfa Candy Rs.5 Jar (50 pieces),,Candy Box,1 X 12 X 50,Kims,CTN,2110,2110,0,,0
eclair-toffo-box-rs-1,Eclair Toffo Box Rs.1,,Toffee Box,1 X 18 X 150,Kims,CTN,2260,2260,0,,0
masala-candy-jar-rs-2-150-pieces,Masala Candy Jar Rs.2 (150 pieces),,Candy Jar,1 X 6 X 150,Kims,CTN,1180,1180,0,,0
butter-scotch-candy-box-rs-2,Butter Scotch Candy Box Rs.2,,Candy Box,1 X 24 X 75,Kims,CTN,2554,2554,0,,0
meethi-rus-candy-box-rs-2,Meethi Rus Candy Box Rs.2,,Candy Box,1 X 24 X 75,Kims,CTN,2554,2554,0,,0
fruito-candy-rs-2,Fruito Candy Rs.2,,Candy Box,1 X 18 X 75,Kims,CTN,1898,1898,0,,0
clair-gold-toffee-rs-2,Éclair Gold Toffee Rs.2,,Toffee Box,1 X 36 X 60,Kims,CTN,3200,3200,0,,0
amrood-box-rs-1,Amrood Box Rs.1,,Candy Box,1 X 24 X 150,Kims,CTN,3034,3034,0,,0
fanto-box-rs-1,Fanto Box Rs.1,,Candy Box,1 X 24 X 150,Kims,CTN,3034,3034,0,,0
khopra-box-rs-1,Khopra Box Rs.1,,Candy Box,1 X 24 X 150,Kims,CTN,3034,3034,0,,0
double-shot-wafer-cream-rollies-rs-10,Double Shot (Wafer Cream Rollies) Rs.10,,Wafer Cream Rollies,1 X 18 X 15,Kims,CTN,2098,2098,0,,0
piknik-banana-wafer-rs-5,Piknik Banana Wafer Rs.5,,Waffers,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
tik-tok-peach-wafers-box-rs-10-15-pieces,Tik Tok Peach Wafers Box Rs.10 (15 pieces),,Waffers,1 X 18 X 15,Kims,CTN,2170,2170,0,,0
tik-tok-coconut-wafers-hanger-rs-10-15-p,Tik Tok Coconut Wafers Hanger Rs.10 (15 pieces),,Waffers,1 X 20 X 15,Kims,CTN,2410,2410,0,,0
choco-bite-cone-rs-10,Choco Bite Cone Rs.10,,Waffers,1 X 18 X 24,Kims,CTN,3340,3340,0,,0
krunchy-waffer-vanilla-rs-30,Krunchy Waffer (Vanilla) Rs.30,,Waffers,1 X 18 X 6,Kims,CTN,2436,2436,0,,0
sip-condensed-milk-liquid-cream-box-rs-1,Sip Condensed Milk (Liquid Cream) Box Rs.10,,Liquid Chocolate,18 X 15,Kims,CTN,2188,2188,0,,0
sip-condensed-milk-liquid-cream-jar-rs-1,Sip Condensed Milk (Liquid Cream) Jar Rs.10,,Liquid Chocolate,12 X 35,Kims,CTN,3526,3526,0,,0
chokozo-milk-maza-rs-5,Chokozo Milk Maza Rs.5,,Liquid Chocolate,1X24X30,Kims,CTN,2770,2770,0,,0
chokozo-milk-maza-jar-rs-5,Chokozo Milk Maza Jar Rs.5,,Liquid Chocolate,1 X 12 X 60,Kims,CTN,2870,2870,0,,0
chatpata-rs-10-15-pieces,Chatpata Rs.10 (15 pieces),,Nimko,1 X 18 X 15,Kims,CTN,2134,2134,0,,0
chatkhara-nimko-dal-murgh-rs-5-30-pieces,Chatkhara Nimko (Dal Murgh) Rs.5 (30 pieces),,Nimko,1 x 18 x 30,Kims,CTN,2134,2134,0,,0
chatkhara-nimko-mix-nimko-rs-5-30-pieces,Chatkhara Nimko (Mix Nimko) Rs.5 (30 pieces),,Nimko,1 x 18 x 30,Kims,CTN,2134,2134,0,,0
krazzy-coconut-rs-5-30-pieces,Krazzy Coconut Rs.5 (30 pieces),,Chocolates,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
nutty-rs-20-12-pieces,Nutty Rs.20 (12 pieces),,Chocolates,1 X 18 X 12,Kims,CTN,2890,2890,0,,0
choco-milk-creamy-chocolate-rs-50,Choco Milk Creamy Chocolate Rs.50,,Moulded Chocolate,1 X 12 X 12,Kims,CTN,5330,5330,0,,0
nut-khut-chocolate-rs-10,Nut Khut Chocolate Rs.10,,Moulded Chocolate,1 X 18 X 15,Kims,CTN,2250,2250,0,,0
boomy-rs-5-30-pieces,Boomy Rs.5 (30 pieces),,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
choco-dream-rs-5-30-pieces,Choco Dream Rs.5 (30 pieces),,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
krazzy-nut-rs-5-30-pieces,Krazzy Nut Rs.5 (30 pieces),,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
choco-bisc-rs-10-24-pieces,Choco Bisc Rs.10 (24 pieces),,Chocolate Coated Wafer/Biscuit,1 X 18 X 24,Kims,CTN,3415,3415,0,,0
krispo-wafers-chocolate-rs-20,Krispo Wafers Chocolate Rs.20,,Chocolate Coated Wafer,12x12,Kims,CTN,2340,2340,0,,0
sweety-soft-cake-rs-5-30-pieces,Sweety Soft Cake Rs.5 (30 pieces),,Soft Cake,1 X 18 X 30,Kims,CTN,2224,2224,0,,0
twinkle-cake-chocolate-vanilla-rs-5-30-p,Twinkle Cake (Chocolate & Vanilla) Rs.5 (30 pieces),,Soft Cake,1 X 18 X 30,Kims,CTN,2224,2224,0,,0
shake-pineapple-cake-rs-5-30-pieces,Shake Pineapple Cake Rs.5 (30 pieces),,Soft Cake,1 X 18 X 30,Kims,CTN,2224,2224,0,,0
strawberry-vanila-swiss-roll-cake-rs-10-,Strawberry Vanila (Swiss Roll) Cake Rs.10 (15 pieces),,Swiss Roll Cake,1 X 18 X 15,Kims,CTN,2260,2260,0,,0
